smiles,atom_mapped,class_label
[Pd][P+](c1ccccc1)(c1ccccc1)c1ccccc1.COC(=O)c1cncc2c(Br)ccc(C)c12.COc1cccc(B(O)O)c1.[K]O,"[0, 29, 30]",0
COC(=O)c1cncc2c([Pd](Br)[P+](c3ccccc3)(c3ccccc3)c3ccccc3)ccc(C)c12.COc1cccc(B(O)O)c1.[K]O,"[47, 48, 42, 43]",1
COC(=O)c1cncc2c([Pd](Br)[P+](c3ccccc3)(c3ccccc3)c3ccccc3)ccc(C)c12.COc1cccc([B-](O)(O)O)c1.[K+],"[10, 11, 42, 43]",2
COC(=O)c1cncc2c([Pd](c3cccc(OC)c3)[P+](c3ccccc3)(c3ccccc3)c3ccccc3)ccc(C)c12.O[B-](O)(O)Br.[K+],"[9, 10, 11]",3
[Pd][P+](c1ccccc1)(c1ccccc1)c1ccccc1.Cc1cc(C(=O)N2CC2)ccc1Cl.CC(=O)c1ccc(B(O)O)cc1.[K]O,"[0, 31, 32]",0
Cc1cc(C(=O)N2CC2)ccc1[Pd](Cl)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.CC(=O)c1ccc(B(O)O)cc1.[K]O,"[45, 46, 39, 40]",1
Cc1cc(C(=O)N2CC2)ccc1[Pd](Cl)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.CC(=O)c1ccc([B-](O)(O)O)cc1.[K+],"[12, 13, 39, 40]",2
CC(=O)c1ccc([Pd](c2ccc(C(=O)N3CC3)cc2C)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.O[B-](O)(O)Cl.[K+],"[6, 7, 8]",3
O=NCc1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.Cc1cc(C2=NCC(=O)N2)cc(C)c1Br.OB(O)c1ccc(Br)cc1.[Na]O,"[10, 36, 37]",0
Cc1cc(C2=NCC(=O)N2)cc(C)c1[Pd](Br)[P+](c1ccccc1)(c1ccccc1)c1ccccc1CN=O.OB(O)c1ccc(Br)cc1.[Na]O,"[48, 49, 41, 39]",1
Cc1cc(C2=NCC(=O)N2)cc(C)c1[Pd](Br)[P+](c1ccccc1)(c1ccccc1)c1ccccc1CN=O.O[B-](O)(O)c1ccc(Br)cc1.[Na+],"[14, 15, 42, 39]",2
Cc1cc(C2=NCC(=O)N2)cc(C)c1[Pd](c1ccc(Br)cc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1CN=O.O[B-](O)(O)Br.[Na+],"[13, 14, 15]",3
Brc1ccccc1CN=Cc1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.Cc1ccc(Cl)c2c(N)noc12.OB(O)c1ccc(Cl)cc1.[K]O,"[17, 34, 35]",0
Cc1ccc([Pd](Cl)[P+](c2ccccc2)(c2ccccc2)c2ccccc2C=NCc2ccccc2Br)c2c(N)noc12.OB(O)c1ccc(Cl)cc1.[K]O,"[52, 53, 45, 43]",1
Cc1ccc([Pd](Cl)[P+](c2ccccc2)(c2ccccc2)c2ccccc2C=NCc2ccccc2Br)c2c(N)noc12.O[B-](O)(O)c1ccc(Cl)cc1.[K+],"[5, 6, 46, 43]",2
Cc1ccc([Pd](c2ccc(Cl)cc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2C=NCc2ccccc2Br)c2c(N)noc12.O[B-](O)(O)Cl.[K+],"[4, 5, 6]",3
CC(C)(C)[P+]([Pd])(c1ccccc1N)c1ccccc1N.CN=C(NN)c1ccc(Cl)c(C)c1.Cc1cc(C)cc(B(O)O)c1.[Na]O,"[5, 28, 29]",0
CN=C(NN)c1ccc([Pd](Cl)[P+](c2ccccc2N)(c2ccccc2N)C(C)(C)C)c(C)c1.Cc1cc(C)cc(B(O)O)c1.[Na]O,"[44, 45, 39, 40]",1
CN=C(NN)c1ccc([Pd](Cl)[P+](c2ccccc2N)(c2ccccc2N)C(C)(C)C)c(C)c1.Cc1cc(C)cc([B-](O)(O)O)c1.[Na+],"[9, 10, 39, 40]",2
CN=C(NN)c1ccc([Pd](c2cc(C)cc(C)c2)[P+](c2ccccc2N)(c2ccccc2N)C(C)(C)C)c(C)c1.O[B-](O)(O)Cl.[Na+],"[8, 9, 10]",3
CCSC(C)C1CC1[P+]([Pd])(c1ccccc1)c1ccccc1.OCc1cc(-c2cncnc2)ccc1Cl.OB(O)c1ccc(Cl)cc1.[K]O,"[9, 35, 36]",0
CCSC(C)C1CC1[P+](c1ccccc1)(c1ccccc1)[Pd](Cl)c1ccc(-c2cncnc2)cc1CO.OB(O)c1ccc(Cl)cc1.[K]O,"[47, 48, 40, 38]",1
CCSC(C)C1CC1[P+](c1ccccc1)(c1ccccc1)[Pd](Cl)c1ccc(-c2cncnc2)cc1CO.O[B-](O)(O)c1ccc(Cl)cc1.[K+],"[21, 22, 41, 38]",2
CCSC(C)C1CC1[P+](c1ccccc1)(c1ccccc1)[Pd](c1ccc(Cl)cc1)c1ccc(-c2cncnc2)cc1CO.O[B-](O)(O)Cl.[K+],"[22, 21, 29]",3
[Pd][P+](c1ccccc1)(c1ccccc1)c1ccccc1.Cc1c(C)c(C)c([N+](=O)[O-])c(Cl)c1C.COC(=O)c1cccc(B(O)O)c1.[Cs]O,"[0, 30, 31]",0
